"text","rating","bahasa"
"Sometimes initial reactions to a film can seem like ridiculous hyperbole, over the top enthusiasm because the experience is so fresh and the intensity of those feelings will fade over time. Much like everyone else, I have been guilty of this in the past, and I will look back at a review months later and wish I could tone down the rhetoric a tad.  My review of The Raid 2 may seem like a perfect example of such things, but…",9,"english"
"Remember when I stated that The Raid is action cinema at its best? The Raid 2 IS not only action cinema at its best, but it's still, IMO, the greatest action movie ever made. What an epic two and a half hour Indonesian gangster movie!  Beautiful choreography, frantic, yet coherent camerawork with fluid, precise editing, gorgeous cinematography that takes advantage of the grander scale of the story and various locations, and with some of the most wince-inducing violence onscreen, what an enthralling experience. Julie Estelle's Hammer Girl is one of the best fictional characters in film history!",10,"english"
"The level of epic has overloaded.  The Raid 2 absolutely blew my mind. This movie is extremely comparable to the Kill Bill trilogy, except a bit more urbanized and modern. The action sequences, just wow! They were incredible. Iko Uwais is now surely my favorite martial artist. The car chase scene has got to be the greatest one I've ever witnessed. The last half hour to hour makes this whole film successful as it is indescribable by me. I just…",10,"english"
"You don't really go into this for the story so that being said it could've had a little less but I was ok with it, The Raid 2 had the best fight scenes i've ever seen.",9,"english"
"The last 20-30 minutes: Perfection!  The rest: Also pretty great",8,"english"
"i have a huge hangover, decided to watch this, and now i feel even more sick  but it's great, fucking incredible action choreography",8,"english"
"This is the third or fourth time I’ve seen this and it just keeps getting better and the 2 hour 30 minute runtime just keeps getting shorter, somehow. Gareth Evans is the best thing that’s happened to action cinema since Jackie Chan, and in light of the recent surge of ""John Wick fights are better than The Raid"" sentiment I’m appreciating The Raid movies even more. Absolutely cannot wait for his heroic bloodshed movie next year. If anyone could top A Hero Never Dies aka the greatest heroic bloodshed movie ever made, it’s Gareth Evans.",10,"english"
"Iko Uwais is so damn amazing at what he does! An insane action movie that is also a gangster film. Iko was running hands like nobodies business! This man was like Bruce Lee and IP Man fused into one while going ultra instinct on people. Super Shaggy would never stand a chance!😤. Iwais’s fist are so damn tough that his punches will cause police reform and break the damn systemic problems that crime is connected to. He ain’t got time…",10,"english"
"Lot more raiding in this one, i give this 4 raids out of 5.",8,"english"
"First review: letterboxd.com/thommy1801/film/the-raid-2/  For me, “The Raid 2” still is the benchmark for modern martial arts action cinema. It´s cool, stylish, exciting, intense, and ultraviolent. I love the small-scale approach of the first film, but the expanded scope and world of the sequel make it feel fresh and less of a rehash. Everything feels bigger. What makes “The Raid 2” so special is that you can feel that everyone involved in making this movie, in front or behind the camera,…",9,"english"
"Wow that was a killer ending. Rama defeating each of the three hitmen was so satisfying, he took down a whole fucking mob by himself!! And also, The Assassin completely lost my respect when he took out those knives! Mad Dog would NEVER pull such a bitch move.  Speaking of which, I spent most of the movie believing Mad Dog had somehow survived until I realised the actor had just been cast again as a different character!  In my opinion, it’s…",10,"english"
"The Raid was a surprise blow in the stomach and fun pit of every action & martial arts fan. A classic action film without a real story with some of the strongest fights ever - a film like an iron fist! As a result, The Raid 2 was one of the most anticipated films for any initiate - and it even exceeded most expectations! The Raid 2 actually ends exactly where Part 1 ended & Rama is still our hero. This time…",10,"english"
"While the first one was short and very light on story and characters, with its focus being mainly the action, this one is a long, epic crime drama with lots of plot and character development that just so happens to also have some of the best action sequences ever filmed in the history of cinema.  With a plot that's like a cross between The Godfather and The Departed, it may take a while for those expecting the same level of…",9,"english"
"Despite The Raid 2 carrying even better set-pieces than its predecessor, I used to lean more towards THE RAID’s self-contained, more streamlined narrative. However, after revisiting this, I now prefer the grander scope, epic-like narrative ambitions, and stronger character work of the sequel. And whereas THE RAID had a fittingly scrappy aesthetic to match the scrappiness of that film, The Raid 2 looks far more dynamic visually; from the photography by Matt Flannery and Dimas Imam Subhono to T. Moty…",10,"english"
"Review In A Nutshell:  The Raid 2 begins differently from the first film, it opens with a significant death that would fuel the plot in motion; immediately Gareth Evans has laid down his intentions, this would be a different experience from the first, digging deeper into its characters and providing a story that further expands Rama’s, the protagonist of the first film, world. I was both eager and anxious to see how Evans would follow up his remarkable original; a…",5,"english"
"A huge step forward in the action department. A slightly smaller but still big step BACK in the cop drama department.  Generally a weak story is excusable when your characters are called baseball bat man and hammer girl but when the film clocks in at 150 minutes and larger gaps exist in between the beatings, boredom calls for a stronger (or at least more compelling) story.  But what kind of dork goes to an asian martial arts movie for the story. Fuck me right?",7,"english"
"Don't see this if you have a heart condition. And even then, it might be worth the risk.  I jest of course, but in reality, Gareth Evans has crafted some of the most pulse-pounding, violent, brutal, and batshit insane action sequences ever. The last hour or so of this film is just bonkers: balls-to-the-wall violence that's incredibly entertaining. Probably the closest a film will ever get to directly injecting you with adrenaline.  This proves Evans to be an excellent filmmaker.…",7,"english"
"The Raid 2: Raid Harder  Well, you can't say Gareth Evans didn't try for a story this time around. Almost half of this sequel's 150(!) minute runtime is not action scenes. Sure, the story is about as generic an undercover cop/triad story as you'll find, the kind of thing Ringo Lam would have dismissed 30 years ago as cliched, then spiced up with Simon Yam going full-ham in an alligator suit or something. That's really the only thing Evans is…",7,"english"
"On the evidence of The Raid 2, we need to seriously start taking note of Gareth Evans as a major directorial talent of the future. After wowing people out of nowhere not just with The Raid, but equally many with his contribution to horror anthology VHS 2 ('Safe Haven' - check it out immediately), Evans delivers what can arguably rank as his zenith so far in a career where he's barely put a foot wrong yet. The fact he wrote,…",9,"english"
"So much better than the first, which kind of surprised me cos I loved the first.  Direction, script, action and story all took a step up.  Brilliant",10,"english"
"Ditches the emotional and structural simplicity of the first, opting to take this small scale story and expand it into an epic crime saga which is an admittedly strange place to go. It comes dangerously close to collapsing under its own ambition at multiple but Evans’ absolutely brutal setpieces still manage to save the thing. There’s two here especially, the mud covered prison yard fight and climactic car chase, that I almost couldn’t believe. Takes the incredible hand to hand…",7,"english"
"""In prison you'd be wise to pick a side. Loners don't tend to last long.""  The anticipated sequel to Gareth Evans' Indonesian film, The Raid, lived up to expectations thanks to some fantastic action scenes and well choreographed fighting scenes (amongst the best I've seen on film). Iko Uwais is back in the lead role as Rama and the film picks up only a few hours after the events of the first movie. If you thought Rama was off the…",8,"english"
"There are people making worse films (at least he gets great fight choreography), but if I could stop anyone from making movies, I think it would be Gareth Evans and his infantile understanding of drama, slipshod directorial ability, and almost comical post-Nolan extremity. This is garbage, sickeningly and meaninglessly violent, without even a whisper of mitigating wit and, like the first film, ultimately tedious in otherwise remarkable fight scenes for how indifferently and lazily they are established and how they all blend together into one indiscriminate whole.",1,"english"
"""In prison you'd be wise to pick a side. Loners don't tend to last long""  That was an exhilarating roller coaster bloodbath! Pure adrenaline rush juxtaposed with some stunning background scores(snow sequence was my personal favorite). This time Evans improves upon the original in terms of scope,character development and some of the most astonishing fight sequences in a long time.",9,"english"
"This is one of those rare movies that has so many great moments but is somehow still a bad movie. Now, I’d say The Raid 2 is not really a “bad movie.” However, while some of it’s individual sequences, like many of the fight scenes, far surpass those in the first Raid, the sum of its parts doesn’t add up to being even a fraction as good as that film.   What’s so great about the first Raid isn’t just that…",6,"english"
"“None of us are heroes.”  Kinda has the opposite problem of the first one; The Raid keeps the plot lean while this sequel has maybe too much plot. The bigger budget is an advantage here: it looks far more cinematic than the ugly-looking first film, and the action is ramped up even further. The kitchen fight is still an all-timer.",9,"english"
"Wow. This film is VERY different than the first Raid film. I love it.  If you have seen the first film and not yet seen this film I should warn you the film is much longer (like 50 minutes longer) and I would say it is roughly 15 more minutes of fighting with 35 more minutes of dialogue. These films are freaking amazing and I can't even begin to imagine what goes into getting this insane fight choreography onto a…",8,"english"
"Well, I just witnessed the perfect action film. The Raid 2 takes everything that was great about The Raid, cranks it up the nth degree, and doesn't let up for a moment as it steamrolls the viewer with a non-stop barrage of AMAZING fight sequences while simultaneously crafting an excellent story full of intriguing new characters. Hell, people shouldn't even bother making action films after this one because they are sure to seem paltry by comparison. The action genre is done and Gareth Evans is the winner.",9,"english"
"This is how good this movie is as we all know the first raid was awesome i loved the first raid it was so cool but after seeing the raid 2 oooohhhh my god this film make the first raid look like batman and robin holy shit. The Raid 2 is officially one of the best films i've seen in absoloutely ages its incredible in my eyes and makes every action film ever made look dull and pointless when action…",8,"english"
"Ok! Please can someone vote for Gareth Edwards to direct the next Expendables and can we have a fight sequence between Iko and Jet. Thor vs Hammer girl would be an awesome fight too to see. I thought the first Raid was insane with mind blowing scenes but this one moves into overdrive. So many memorable moments everybody is sure to have a favourite. I cant decide which is best, whether the car chase, prison riot,train or the ultimate fight…",8,"english"
"Dear Hollywood, Please stop attempting to make action movies. You are only playing for pride now. If you insist on continuing, please send all profits to the Foundation For Buying Paul Greengrass a Tripod.  Sincerely, me",8,"english"
"Some movies feel like as they were fueled by some sort of higher force. There is a kind of intensity to The Raid 2 I've hardly felt in a movie ever before.  Only a few action movies had a similar feel to it in multiple scenes, but the difference with Gareth Evans's close to 150 minute masterpiece is that those movies didn't maintain that intensity throughout the entire runtime, which was, in many cases much shorter than 150 minutes.  Compared…",10,"english"
"Double the action, double the thrills, double the increíble camera work - The sequel excels on many of the aspect from the first one. The action set pieces (the brawl, the kitchen, the metro...) are wildly entertaining.",8,"english"
"The story might be typical when it comes to being a crime yarn, but it served as a way better vehicle for the action than the first one did. This one doesn't feel like it's in a rush to get all the usual movie bullshit out of the way just to get to fighting, it's instead fully committed to the pulp drama of the crime genre. The first one arguably wins when it comes to how well the secluded location…",9,"english"
"Theres no such thing as a clean war in this world  First time watch: April 2014 Source: Blu Ray  The Raid 2 is the 2014 Indonesian action crime film written and directed by Gareth Evans. It stars Iko Uwais, Arifin Putra and Oka Antara as special forces officer Rama is now sent undercover to expose corrupt police officers.  We go to war  My local cinema isn't the best at showing foreign titles and on the rare occasion it actually shows…",9,"english"
"A two and a half hour Indonesian crime saga filled to the brim with meticulously choreographed high-energy fight scenes, absurd and beautifully over-the-top ultraviolence and action that actually moves. I've never seen action this brutal and visceral in a movie before, so aggressively stylized and energetic; choreographed in a way that it becomes more about the performance than anything else. When I watched this back in 2014 it knocked me out, and four years later it did it again. If there's anything else like this or The Raid: Redemption out there point me in its direction, please.",9,"english"
"This one fights dirty.  Merrily tests your threshold for hardcore action violence as it relentlessly thrusts forward. I preferred its sprawling, limitless set-pieces to the brilliant original. This is next level action entertainment that is so artfully edited and photographed that I can't imagine where this filmmaker will take us next, but I'm thrilled beyond measure and will happily follow him anywhere. Hard to pick a favorite sequence, but I will say the car chase. That's action movie heaven and I need to watch that bit again...now.",9,"english"
"When I looked at the first installment of what's become known as The Raid duology, I made mention of an original project that Gareth Evans had to put on the back-burner until he made a film that could convince producers to have more faith in an up-and-comer like him. Titled Berandal (which translates to either thug, hooligan, or rascal, yeah I can see why sticking with the Indonesian word makes it seem cooler), the original script was a standalone action…",8,"english"
"Hadn't watched this in a few years and after Revenge whet my appetite for that new school ultra-violence I figured it was time for another ride.  The Raid 2 expands on Gareth Evan's hyper-harsh action flick The Raid: Redemption in a variety of ways: longer running time, a more complex plot, loftier dynamics, and more imaginative fight scenes. While I still love the first film's unrelenting journey upwards through the apartment complex from hell, I'm a sucker for an operatic…",9,"english"
"Hyper stylized and hyper violent, just the way I like my action films. The first one for me now stands as a corner stone of modern action films for which I will most likely hold any and all action films too from now on. It's fantastic set, impressive editing and superb cinematography all show an immense talent from Gareth Evans and his team. Unfortunately, The Raid 2 doesn't reach the 30th floor like it's predecessor but it is still a…",7,"english"
"The Raid 2: Berandal is cinema at its most stylishly ultra-violent. The screen gets a crimson mask in this brutal, ruthless, unrelenting, unapologetic, briskly paced, inexhaustible, imaginatively violent, bloodstained martial arts motion picture that is jam-packed with highly skilled hand-to-hand combat, sadistic slaughter, exaggerated butchery, unbridled savagery and alarmingly unique usage of everyday tools and sports equipment, in the midst of a frank yet dreadfully complex plotline. Martial arts, action has never been so trendily ferocious. Parallel to its predecessor,…",8,"english"
"Probably some of the greatest fight sequences I have ever seen in a movie can’t see much topping this.",10,"english"
"This is the single greatest action movie ever made. Period. Bar none. Game over. Pack it up.  EDIT: Second best. Mad Max Fury Road kinda swept it off.",10,"english"
"What this film lacks in [just insert anything you want], it more than makes up for with its hard hitting fight sequences. This is the bar to which all action films must be held.  March Around the World 2018 Challenge #15/30 - Indonesia",9,"english"
"Between this and John Wick we're 2 for 2 on massive action sequels featuring a badass, mute, female assassin. Similarly manages to best an already excellent original film, but interestingly ends on a completely different note. A modern action masterpiece.",9,"english"
"In The Raid, the action was incredible while the story was slight and perhaps too simple. It needed more meat on its bones.  With The Raid 2, the action is again unbelievably well staged and often jaw dropping to watch, but like a flipped coin to the first movie - there's too much story!. There's so much meat here it's overweight. 2 hours and 30 minutes is ridiculous. Ridiculous.  So with The Raid 3, director Gareth Evans i'm hoping, will get the balance right. If he does, it could be the perfect action film.  Fingers are crossed.",4,"english"
"i rewatched this movie dubbed instead of with subtitles which made the experience much much worse, but i still had a phenomenal time with it, cause it's the raid! you can't hate the raid! i believe that this film has the best action scenes ever put to film, i like the john wick films quite more cause their world building, but i believe that the action in this movie is better, this is just mind blowing and brutal, i think…",8,"english"
"Astoundingly choreographed, gleefully graphic, yet leaden with the thinnest of characters, excessive plotting, and bloated pace (the opening 45 minutes are basically a prologue to the actual story!). I adore what Evans does with the action and tone, the insanely complex set-pieces he designs and the merciless choreography the performers unleash. But the perfunctory gangster epic wrapped around the spectacle makes The Raid 2 a less-than-eager rewatch.  I don’t mind that the story is exceedingly familiar; can’t really complain about…",7,"english"
"☆""If you want out, you put them down. All of them.""☆  Some day, these bad guys are gonna learn to stop attacking one at a time.  After the success of The Raid -- the bare-knuckle action adrenaline fuel I devoured last night -- director-writer-editor Gareth Evans comes roaring back with his follow-up in 2014, The Raid 2. This was the film he always wanted to make from the beginning, allegedly, an epic sprawling crime thriller with an artistic style, a…",7,"english"
"Just finished watching The Raid 2 and.........................What a fuckin' brutal bloodbath this film was!!  If you thought that The Raid was pure adrenaline mayhem, then you will not be prepared for this bigger and badder sequel that basically escalated everything that was so great about the first one and then took this one to new epic heights. Every time I hear a bone fracture during the intense, bloody action sequences, I literally dropped my jaw and said ""FUCK!"" cause of…",10,"english"
"”He escaped the car.” ”Put the word out, whoever finds him..” ”He's here.”  First of all I’m glad to attest that The Raid 2 deserved the insane Sundance buzz and all the other hype and after waiting for what seems like ages, since it's first announcement, it kept me smiling for 150 minutes and I’ll gladly rewatch it on the big screen when it finally arrives in German cinemas (LATE NEXT FUCKING MONTH YOU DISTRIBUTION CUNTS!) and I’ll buy the…",10,"english"
"This review may contain spoilers. I can handle the truth.  Despite the many breathtaking sequences (and I mean many), this falls short of the first film for me, but rather than that being down to actual flaws, I think it's more to do with personal taste. The first was a claustrophobic frenzy with a lot of horror DNA where this is more a sprawling crime opus with a measured pace and a more complex story. Allowing us to catch breath throughout, save for the final quarter, kind of robs of…",8,"english"
